Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,11.878,1.263,4849.492,26.207,,,-2057.566,-596.668,-4350.631,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,13.147,0.492,4989.917,22.585,,,-1836.353,-550.884,-4606.909,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,14.223,4.228,5059.999,18.623,,,-1507.386,-584.844,-4794.72,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,12.082,12.05,4949.635,28.753,,,2375.155,-168.651,-4339.248,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,11.786,8.153,4802.857,26.799,,,2152.746,-236.247,-4286.876,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,12.64,6.202,4878.817,23.997,,,1969.623,-242.546,-4456.974,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,13.613,6.143,4784.048,10.313,,,734.128,-443.799,-4706.508,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,14.882,7.201,5039.555,7.583,,,381.574,-547.62,-4995.16,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,11.432,5.253,4403.468,8.699,,,-412.366,-525.547,-4352.503,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,14.913,0.545,5068.268,7.836,,,-322.164,-614.209,-5020.587,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,15.49,0.867,5168.166,9.659,,,-698.176,-517.278,-5094.597,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,,14.797,0.328,5064.168,6.913,,,-318.687,-522.497,-5027.05,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45497,25.3014,KAD_SO1_Transect 1,1.3458,66.608,3.3,3.318,2203.132,17.73,19.84,6.405,142.586,-655.61,-2098.484,KAD_SO1,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,,,
GX010029_L.MP4,45665,25.3948,KAD_SO1_Transect 1,1.4392,204.941,8.848,2.683,3666.934,15.713,17.505,16.769,-826.236,-550.916,-3529.905,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,45671,25.3982,KAD_SO1_Transect 1,1.4426,,8.713,3.219,4282.916,29.72,,,-2101.72,-304.292,-3719.348,KAD_SO1,Peter,Chaetodontidae,Chaetodon,trifascialis,37365058,1,AD,Passing,,,
GX010029_L.MP4,45683,25.4048,KAD_SO1_Transect 1,1.4492,,9.758,0.409,4502.976,27.75,,,-2090.521,-162.41,-3984.99,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45690,25.4087,KAD_SO1_Transect 1,1.4531,,20.264,3.023,5959.007,19.287,,,1840.649,693.947,-5624.963,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
