"term","estimate","std.error","statistic","p.value","Response","Predictor"
"(Intercept)",0.912083959761009,0.00364812577851518,250.014395099128,2.41816840357955e-168,"FDiv","DESIG"
"DESIG1",0.00718960087391195,0.00364812577851519,1.97076562333828,0.0509965789812086,"FDiv","DESIG"
"(Intercept)",0.912141476568,0.00368343271608368,247.633538298431,7.82733720980891e-168,"FDiv","crypto5BROF"
"crypto5BROF",0.00446120547984234,0.0036982554428378,1.20629998354551,0.230016968117843,"FDiv","crypto5BROF"
"(Intercept)",0.912141476568,0.00367465387924747,248.225140800144,5.83984521160267e-168,"FDiv","crypto5BRIF"
"crypto5BRIF",-0.00528314945526133,0.00368944127854765,-1.43196464081983,0.154690243045688,"FDiv","crypto5BRIF"
"(Intercept)",0.912141476568,0.00367411545452742,248.261517052769,5.73573638172838e-168,"FDiv","crypto5LR"
"crypto5LR",0.0053293784236177,0.00368890068711977,1.44470639782357,0.15108306274238,"FDiv","crypto5LR"
"(Intercept)",0.912141476568,0.00367071924118667,248.491212930009,5.12019000358745e-168,"FDiv","crypto5BRin"
"crypto5BRin",-0.00561205905061612,0.00368549080686931,-1.5227440101481,0.130389624760724,"FDiv","crypto5BRin"
"(Intercept)",0.912141476568,0.00368483816753181,247.539087226447,8.20260773941861e-168,"FDiv","crypto5BRout"
"crypto5BRout",0.00431489573703591,0.00369966655004902,1.16629314525082,0.245752349050715,"FDiv","crypto5BRout"
"(Intercept)",0.912141476568,0.0036828497918593,247.672733920408,7.67673276924887e-168,"FDiv","transi15BRIF"
"transi15BRIF",-0.00452048379984165,0.00369767017283242,-1.22252217979165,0.22384763256417,"FDiv","transi15BRIF"
"(Intercept)",0.912141476568,0.00370499409442462,246.192423880139,1.60239326929174e-167,"FDiv","transi15BRin"
"transi15BRin",0.000387118184160965,0.00371990358763933,0.104066725128925,0.917285894696263,"FDiv","transi15BRin"
"(Intercept)",0.912141476568,0.0037021685846872,246.380318913831,1.45914172391316e-167,"FDiv","transi15BRout"
